funcion,estudios,experiencia,ubicacion,skills,tecnologias_aptitudes,idiomas,vacaciones,beneficios,portal_empleo,salario_medio,modalidad_Híbrido,modalidad_Presencial,modalidad_Remoto,jornada_Jornada completa,jornada_Media jornada,jornada_Por horas,contrato_Indefinido,contrato_Otros,contrato_Prácticas,contrato_Temporal
34858.20895522388,1,3.0,0,0,8,0,25.6,0,0,37800.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,2.0,1,0,8,0,23.2,0,0,30000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
43729.166666666664,1,3.0,0,0,11,0,23.2,0,0,39900.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,5.0,0,0,11,0,25.6,0,0,41100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,2.0,0,0,10,0,25.6,0,0,30000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50750.0,0,5.0,0,0,6,1,23.8,0,0,62300.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36131.57894736842,1,3.0,0,0,6,1,22.6,0,0,27000.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38736.11111111111,1,5.0,0,0,2,1,23.0,0,0,37500.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
38736.11111111111,1,5.0,0,0,2,0,23.0,0,0,37500.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
43093.75,0,2.0,0,0,1,1,24.0,0,0,28500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38700.0,0,5.0,0,0,5,1,23.0,0,0,46500.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38300.0,1,3.0,0,0,7,0,28.0,0,0,36000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21000.0,1,5.0,0,0,2,1,25.6,0,0,53324.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
30545.454545454544,1,3.0,0,0,3,1,25.6,0,0,41976.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,1,3.0,0,0,1,1,23.8,0,0,39000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
53142.857142857145,1,3.0,0,0,5,1,23.8,0,0,49500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36131.57894736842,1,3.0,0,0,3,1,22.6,0,0,41976.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,3.0,0,0,8,1,23.2,0,0,37800.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,3.0,0,0,7,1,25.6,0,0,37500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
37650.0,1,3.0,0,0,4,0,27.8,0,0,40500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,5.0,0,0,20,0,25.6,0,0,40500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,1,3.0,0,0,3,1,23.8,0,0,37500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,1,3.0,0,0,3,0,23.8,0,0,37500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,10.0,0,0,2,0,23.2,0,0,40500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,3.0,0,0,10,1,25.6,0,0,35400.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,3.0,0,0,10,0,25.6,0,0,35400.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,5.0,0,0,3,0,25.6,0,0,40500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,5.0,0,0,5,1,25.6,0,0,34500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,5.0,0,0,5,0,25.6,0,0,34500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38300.0,1,5.0,0,0,5,0,28.0,0,0,37500.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
38300.0,1,3.0,0,0,6,1,28.0,0,0,51000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43093.75,1,3.0,0,0,12,1,24.0,0,0,30000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
16500.0,1,3.0,0,0,1,1,25.6,0,0,38400.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38300.0,1,3.0,0,0,6,1,28.0,0,0,31500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32100.0,1,2.0,0,0,7,1,25.6,0,0,34500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
52500.0,1,0.0,0,0,5,1,23.8,0,0,39200.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,3,1,23.2,0,0,45100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,2.0,0,0,3,1,23.2,0,0,37500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,5.0,0,0,6,1,23.2,0,0,62300.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
26961.764705882353,0,1.0,0,0,1,1,25.6,0,0,53400.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,4,1,23.2,0,0,41100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,2,1,23.2,0,0,33300.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,3.0,0,0,3,1,23.2,0,0,42600.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,3.0,0,0,2,1,23.2,0,0,46500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,0.0,0,0,1,1,23.2,0,0,43000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,0.5,0,0,2,1,23.2,0,0,40300.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,3.0,0,0,5,1,23.2,0,0,39000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,0,3.0,0,0,5,1,23.8,0,0,39000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
49692.307692307695,0,3.0,0,0,3,1,23.8,0,0,42600.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,3.0,0,0,2,1,23.2,0,0,46500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38736.11111111111,0,1.0,0,0,1,1,23.0,0,0,53400.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,3.0,0,0,2,1,23.2,0,0,46500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,2,1,23.2,0,0,33300.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,2.0,0,0,2,1,23.2,0,0,35700.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,7,1,23.2,0,0,40200.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,3.0,0,0,3,1,23.2,0,0,42600.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,3.0,0,0,1,1,23.2,0,0,39600.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43854.6875,0,0.0,0,0,2,1,23.2,0,0,46400.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43854.6875,0,3.0,0,0,4,1,23.2,0,0,43200.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,3.0,0,0,4,1,23.2,0,0,43200.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,1,1,23.2,0,0,53400.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,5,1,23.2,0,0,55800.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43854.6875,0,1.0,0,0,2,1,23.2,0,0,33300.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,3,1,23.2,0,0,45100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,0,5.0,0,0,1,1,23.8,0,0,67200.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,0,3.0,0,0,1,1,23.8,0,0,39600.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,3,1,23.2,0,0,45100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43854.6875,0,1.0,0,0,4,1,23.2,0,0,41100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,5.0,0,0,5,1,23.2,0,0,64400.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,2,1,23.2,0,0,33300.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,4,1,23.2,0,0,41100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,3,1,23.2,0,0,45100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,0,1.0,0,0,3,1,23.2,0,0,45100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
