estudios,experiencia,skills,tecnologias_aptitudes,vacaciones,beneficios,salario_medio,cluster
1,3.0,0,8,25.6,0,37800.0,0
1,2.0,0,8,23.2,0,30000.0,0
1,3.0,0,11,23.2,0,39900.0,0
1,5.0,0,11,25.6,0,41100.0,0
1,2.0,0,10,25.6,0,30000.0,0
0,5.0,0,6,23.8,0,62300.0,1
1,3.0,0,6,22.6,0,27000.0,0
1,5.0,0,2,23.0,0,37500.0,0
1,5.0,0,2,23.0,0,37500.0,0
0,2.0,0,1,24.0,0,28500.0,1
0,5.0,0,5,23.0,0,46500.0,1
1,3.0,0,7,28.0,0,36000.0,0
1,5.0,0,2,25.6,0,53324.0,0
1,3.0,0,3,25.6,0,41976.0,0
1,3.0,0,1,23.8,0,39000.0,0
1,3.0,0,5,23.8,0,49500.0,0
1,3.0,0,3,22.6,0,41976.0,0
1,3.0,0,8,23.2,0,37800.0,0
1,3.0,0,7,25.6,0,37500.0,0
1,3.0,0,4,27.8,0,40500.0,0
1,5.0,0,20,25.6,0,40500.0,0
1,3.0,0,3,23.8,0,37500.0,0
1,3.0,0,3,23.8,0,37500.0,0
1,10.0,0,2,23.2,0,40500.0,0
1,3.0,0,10,25.6,0,35400.0,0
1,3.0,0,10,25.6,0,35400.0,0
1,5.0,0,3,25.6,0,40500.0,0
1,5.0,0,5,25.6,0,34500.0,0
1,5.0,0,5,25.6,0,34500.0,0
1,5.0,0,5,28.0,0,37500.0,0
1,3.0,0,6,28.0,0,51000.0,0
1,3.0,0,12,24.0,0,30000.0,0
1,3.0,0,1,25.6,0,38400.0,0
1,3.0,0,6,28.0,0,31500.0,0
1,2.0,0,7,25.6,0,34500.0,0
1,0.0,0,5,23.8,0,39200.0,0
0,1.0,0,3,23.2,0,45100.0,1
0,2.0,0,3,23.2,0,37500.0,1
0,5.0,0,6,23.2,0,62300.0,1
0,1.0,0,1,25.6,0,53400.0,1
0,1.0,0,4,23.2,0,41100.0,1
0,1.0,0,2,23.2,0,33300.0,1
0,3.0,0,3,23.2,0,42600.0,1
0,3.0,0,2,23.2,0,46500.0,1
0,0.0,0,1,23.2,0,43000.0,1
0,0.5,0,2,23.2,0,40300.0,1
0,3.0,0,5,23.2,0,39000.0,1
0,3.0,0,5,23.8,0,39000.0,1
